ad_id,campaign_id,date,country,region,latitude,longitude,service,platform,campaign,impressions,clicks,conversions,ad_spend,attributed_revenue
AD-4723,CAM-669,2026-04-13,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,LinkedIn Ads,Digital Efficiency,56169,4406,818,19727.48,10081251.31
AD-8961,CAM-633,2026-01-03,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,Google Ads,Market Expansion,12691,428,40,39452.24,518529.25
AD-2075,CAM-496,2025-11-12,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,YouTube Ads,Digital Efficiency,65614,2281,89,33827.52,1303886.04
AD-1501,CAM-669,2026-01-22,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,LinkedIn Ads,Digital Efficiency,50876,2534,490,21251.43,3465922.41
AD-7978,CAM-967,2026-03-01,Botswana,Gaborone,-24.6282,25.9231,BI Dashboard,Instagram Ads,Market Expansion,14565,258,27,20067.47,169639.86
AD-5540,CAM-710,2026-04-18,Zambia,Lusaka,-15.3875,28.3228,Data Automation,Facebook Ads,Market Expansion,58947,6884,1079,13514.45,10271722.86
AD-7448,CAM-829,2026-03-12,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,Facebook Ads,Lead Generation,75433,2815,159,32306.9,1605668.43
AD-6825,CAM-514,2026-05-06,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Facebook Ads,Market Expansion,35019,3278,665,41285.62,8162808.79
AD-5576,CAM-921,2026-03-27,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,LinkedIn Ads,Digital Efficiency,59239,5271,578,30888.74,6030027.87
AD-9115,CAM-311,2025-11-21,South Africa,Johannesburg,-26.2041,28.0473,Process Optimisation,Facebook Ads,Market Expansion,20620,1686,230,39603.9,1099197.83
AD-8844,CAM-514,2026-03-22,South Africa,Cape Town,-33.9249,18.4241,Process Optimisation,LinkedIn Ads,Growth Intelligence,45780,4630,887,32388.78,7399995.24
AD-9676,CAM-403,2025-12-29,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,Instagram Ads,Lead Generation,68983,1330,265,40409.53,3737418.71
AD-5226,CAM-584,2025-12-16,Kenya,Nairobi,-1.2921,36.8219,BI Dashboard,Facebook Ads,Lead Generation,41232,2956,246,51643.44,1353499.46
AD-3916,CAM-520,2025-11-16,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,Facebook Ads,Digital Efficiency,66981,2421,211,28327.38,2890999.81
AD-8426,CAM-802,2025-12-12,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,Facebook Ads,AI Awareness,27679,1987,76,19344.37,1186326.29
AD-4715,CAM-455,2025-12-24,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,LinkedIn Ads,Digital Efficiency,29222,1160,233,41755.75,1929713.14
AD-1391,CAM-499,2026-03-22,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Facebook Ads,Lead Generation,2311,194,14,29023.19,208756.68
AD-3241,CAM-724,2026-04-20,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,Instagram Ads,AI Awareness,56888,2985,469,38905.02,5731987.95
AD-8519,CAM-455,2026-05-01,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Google Ads,Digital Efficiency,65245,6129,906,44455.48,6878846.56
AD-2440,CAM-995,2026-05-03,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,Facebook Ads,Growth Intelligence,9013,368,67,40364.96,973246.34
AD-6662,CAM-168,2025-12-23,Zambia,Lusaka,-15.3875,28.3228,Forecasting Model,LinkedIn Ads,Market Expansion,83373,1657,308,24716.38,1318367.55
AD-3522,CAM-473,2026-03-30,Kenya,Nairobi,-1.2921,36.8219,AI Chatbot,YouTube Ads,Lead Generation,34263,3721,403,11298.62,3068751.3
AD-5745,CAM-466,2025-12-20,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Facebook Ads,Market Expansion,13758,611,69,29721.99,637433.85
AD-6498,CAM-150,2026-04-24,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Facebook Ads,Growth Intelligence,6600,349,49,16297.97,437670.17
AD-5313,CAM-515,2026-01-28,Zambia,Lusaka,-15.3875,28.3228,Forecasting Model,LinkedIn Ads,Market Expansion,8070,908,62,27634.54,173735.07
AD-1053,CAM-872,2026-01-07,Botswana,Maun,-19.9833,23.4167,HR Analytics,YouTube Ads,Digital Efficiency,41217,2251,282,31756.12,1780152.25
AD-6034,CAM-863,2026-05-01,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Instagram Ads,AI Awareness,16258,588,31,3539.07,413933.67
AD-2913,CAM-987,2026-02-28,Botswana,Francistown,-21.1702,27.5079,BI Dashboard,Google Ads,Growth Intelligence,8567,991,194,7728.17,1390395.63
AD-3011,CAM-610,2026-04-25,Namibia,Windhoek,-22.5609,17.0658,BI Dashboard,Instagram Ads,Lead Generation,73165,7077,248,9436.98,1541877.3
AD-6749,CAM-533,2025-11-23,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,LinkedIn Ads,AI Awareness,64114,7380,1005,49243.63,7823787.04
AD-5263,CAM-815,2026-05-03,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,Instagram Ads,Digital Efficiency,81156,5051,622,24745.15,1716400.57
AD-9137,CAM-993,2026-03-23,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Google Ads,AI Awareness,41703,4862,253,23494.23,1140735.61
AD-2339,CAM-649,2026-04-08,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,LinkedIn Ads,Digital Efficiency,6642,608,56,10545.54,289395.76
AD-7972,CAM-919,2026-02-16,Zambia,Lusaka,-15.3875,28.3228,Data Automation,Google Ads,AI Awareness,30954,1401,175,25030.17,2794622.86
AD-1348,CAM-948,2025-12-04,South Africa,Johannesburg,-26.2041,28.0473,Process Optimisation,YouTube Ads,Digital Efficiency,61569,1376,152,13978.94,1779482.13
AD-2478,CAM-899,2025-12-23,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Google Ads,Growth Intelligence,47177,2700,301,9091.38,4419258.8
AD-8624,CAM-343,2025-12-11,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Facebook Ads,AI Awareness,59758,5369,452,35650.2,1637062.44
AD-6917,CAM-701,2026-01-25,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Instagram Ads,Digital Efficiency,54241,3038,645,17850.52,6230600.04
AD-4870,CAM-776,2026-03-24,Botswana,Francistown,-21.1702,27.5079,Forecasting Model,YouTube Ads,Digital Efficiency,79357,5220,414,43530.22,2032193.35
AD-9611,CAM-641,2026-04-30,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,YouTube Ads,Lead Generation,66440,4632,943,34690.11,13238103.71
AD-2847,CAM-194,2026-01-19,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,Google Ads,Market Expansion,40156,2451,367,29571.79,5034640.49
AD-5843,CAM-690,2026-03-01,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,Instagram Ads,Growth Intelligence,32004,833,72,16328.04,1124787.86
AD-7473,CAM-473,2026-01-01,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Instagram Ads,Digital Efficiency,35746,4235,143,25771.28,1209345.29
AD-1739,CAM-813,2026-04-16,Botswana,Maun,-19.9833,23.4167,Cybersecurity,Facebook Ads,Lead Generation,17146,1472,133,27742.32,653153.94
AD-7915,CAM-167,2025-12-04,Zimbabwe,Harare,-17.8292,31.0522,Process Optimisation,Google Ads,AI Awareness,78411,5757,1221,25188.35,11632177.71
AD-6000,CAM-220,2026-03-20,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,Google Ads,Market Expansion,56135,3235,604,26614.15,5945309.13
AD-3647,CAM-598,2026-01-03,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Facebook Ads,Growth Intelligence,45105,4871,238,4402.31,3471793.11
AD-8413,CAM-347,2025-12-16,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Google Ads,Growth Intelligence,77314,6383,779,27675.39,11861830.13
AD-8778,CAM-377,2026-02-16,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,Instagram Ads,Lead Generation,3304,167,6,17042.81,35057.95
AD-6969,CAM-603,2026-03-13,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Facebook Ads,Digital Efficiency,3690,289,19,20743.39,267368.81
AD-6714,CAM-687,2026-02-25,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,YouTube Ads,Market Expansion,54337,3755,639,9195.03,3627967.1
AD-9706,CAM-372,2026-02-22,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Google Ads,Digital Efficiency,39245,4536,267,2602.66,744309.14
AD-7138,CAM-430,2026-01-28,Zambia,Lusaka,-15.3875,28.3228,BI Dashboard,Facebook Ads,Market Expansion,84330,7956,634,20222.52,7340637.39
AD-3458,CAM-849,2026-01-08,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Facebook Ads,Digital Efficiency,78982,3571,220,8361.61,2265247.57
AD-2708,CAM-607,2025-11-30,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,LinkedIn Ads,Growth Intelligence,73832,6817,894,37609.64,9443090.75
AD-5099,CAM-996,2026-04-15,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,Google Ads,Lead Generation,8874,410,18,32755.61,53576.64
AD-5043,CAM-276,2026-02-20,Kenya,Nairobi,-1.2921,36.8219,BI Dashboard,YouTube Ads,Lead Generation,22422,2690,586,5246.37,5643661.67
AD-2541,CAM-230,2026-04-21,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,Google Ads,AI Awareness,8121,764,54,47444.18,208602.85
AD-1215,CAM-896,2026-03-20,Zambia,Lusaka,-15.3875,28.3228,Data Automation,YouTube Ads,Market Expansion,66405,5228,533,13778.57,2899066.75
AD-1823,CAM-698,2025-11-24,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,YouTube Ads,Market Expansion,53842,1992,425,49847.1,5830312.17
AD-8704,CAM-387,2026-02-18,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,YouTube Ads,AI Awareness,20554,2035,185,50551.89,2637596.16
AD-9271,CAM-662,2026-04-16,Kenya,Nairobi,-1.2921,36.8219,HR Analytics,Instagram Ads,Digital Efficiency,62829,3250,330,45175.85,4014726.32
AD-6681,CAM-458,2025-12-28,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,Facebook Ads,Digital Efficiency,1537,176,35,15197.16,135159.68
AD-3690,CAM-314,2026-03-27,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,Google Ads,Market Expansion,80740,3165,348,13783.02,5460477.26
AD-5832,CAM-323,2025-11-14,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,LinkedIn Ads,Market Expansion,50398,5264,909,25743.94,13082976.43
AD-2161,CAM-921,2026-04-21,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Instagram Ads,Digital Efficiency,60907,5861,881,8585.33,12621637.44
AD-8507,CAM-640,2026-04-02,South Africa,Cape Town,-33.9249,18.4241,Data Automation,LinkedIn Ads,Growth Intelligence,58881,4483,178,7704.25,1246694.43
AD-3797,CAM-896,2026-03-13,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,Google Ads,Growth Intelligence,20993,1697,326,42591.28,2595514.74
AD-8721,CAM-370,2026-04-18,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,LinkedIn Ads,Market Expansion,77636,7231,438,11187.3,5142464.7
AD-5075,CAM-275,2025-12-19,Botswana,Gaborone,-24.6282,25.9231,AI Chatbot,Instagram Ads,Growth Intelligence,72505,6311,975,33897.24,14755291.45
AD-8441,CAM-152,2026-04-22,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,YouTube Ads,Market Expansion,34554,2859,616,32674.51,4212841.94
AD-2149,CAM-929,2025-12-04,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,YouTube Ads,Digital Efficiency,7865,826,155,25979.84,1511284.46
AD-5376,CAM-522,2026-04-24,South Africa,Johannesburg,-26.2041,28.0473,Process Optimisation,YouTube Ads,Digital Efficiency,5855,682,39,18067.93,352368.49
AD-3368,CAM-684,2025-11-25,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Instagram Ads,Lead Generation,43051,2523,381,30269.69,4526256.49
AD-5957,CAM-114,2026-02-20,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,YouTube Ads,Lead Generation,47257,4022,734,8477.32,5723777.86
AD-3369,CAM-921,2025-11-08,Kenya,Nairobi,-1.2921,36.8219,Data Automation,Facebook Ads,Digital Efficiency,64513,5972,645,12646.64,5377131.08
AD-4923,CAM-760,2026-01-09,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Facebook Ads,AI Awareness,50586,2001,356,27613.49,2509422.22
AD-5495,CAM-865,2026-03-23,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Google Ads,Lead Generation,79819,3239,436,21881.15,4225091.13
AD-3211,CAM-642,2026-03-12,Kenya,Nairobi,-1.2921,36.8219,Process Optimisation,Google Ads,Digital Efficiency,6408,112,13,14564.03,188352.1
AD-1959,CAM-144,2026-04-25,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,Google Ads,Growth Intelligence,17548,1433,247,5872.76,2547274.16
AD-3398,CAM-567,2025-12-11,Nigeria,Lagos,6.5244,3.3792,Data Automation,YouTube Ads,Digital Efficiency,75976,7378,1215,37495.33,5832541.9
AD-3222,CAM-874,2026-01-22,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Facebook Ads,AI Awareness,29618,779,35,43904.77,400515.81
AD-8502,CAM-709,2026-01-12,Botswana,Gaborone,-24.6282,25.9231,HR Analytics,Instagram Ads,Market Expansion,67203,2658,264,30202.07,3672562.56
AD-5113,CAM-744,2026-02-26,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Facebook Ads,Market Expansion,45145,1573,283,9773.89,1644903.03
AD-2993,CAM-813,2026-01-17,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,LinkedIn Ads,Growth Intelligence,76039,1915,221,8580.89,1499463.29
AD-1908,CAM-806,2026-05-03,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,YouTube Ads,Lead Generation,43698,3308,633,17621.57,3029955.78
AD-9437,CAM-437,2026-03-26,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,Instagram Ads,Digital Efficiency,3240,196,28,35444.09,417764.7
AD-7487,CAM-472,2026-04-22,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Google Ads,Lead Generation,49948,2827,566,31865.86,8256612.54
AD-3099,CAM-538,2025-12-05,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,Facebook Ads,AI Awareness,7291,182,20,15712.25,188153.88
AD-2597,CAM-126,2025-12-03,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,YouTube Ads,Digital Efficiency,37986,1657,146,9105.45,1541900.68
AD-4954,CAM-778,2026-03-08,Namibia,Windhoek,-22.5609,17.0658,Cybersecurity,YouTube Ads,AI Awareness,29856,494,92,21055.51,594086.43
AD-6000,CAM-148,2026-04-14,Namibia,Windhoek,-22.5609,17.0658,Data Automation,Facebook Ads,Growth Intelligence,59122,6405,372,31045.57,4541534.98
AD-6844,CAM-133,2026-04-28,South Africa,Johannesburg,-26.2041,28.0473,Cybersecurity,Instagram Ads,Lead Generation,45819,919,147,34950.22,2275698.39
AD-2240,CAM-497,2026-04-14,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,Facebook Ads,AI Awareness,75021,2298,402,21042.73,3587362.86
AD-8869,CAM-186,2026-03-10,Botswana,Gaborone,-24.6282,25.9231,Cybersecurity,YouTube Ads,Growth Intelligence,61708,2961,585,28708.55,5211183.03
AD-7766,CAM-137,2026-02-18,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,Instagram Ads,Market Expansion,52466,5376,1040,9620.84,9359780.29
AD-7429,CAM-414,2026-01-04,Kenya,Nairobi,-1.2921,36.8219,HR Analytics,LinkedIn Ads,AI Awareness,34795,3668,637,46224.31,9290680.13
AD-7428,CAM-847,2026-04-03,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,LinkedIn Ads,Digital Efficiency,15712,1639,246,51076.01,1186569.78
AD-8120,CAM-637,2026-01-12,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,YouTube Ads,Market Expansion,19837,533,111,14475.28,343407.2
AD-7296,CAM-911,2026-01-19,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Google Ads,AI Awareness,55525,2302,400,4528.88,2985598.88
AD-6723,CAM-410,2025-11-12,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,YouTube Ads,Market Expansion,60782,3733,701,32091.3,3626883.06
AD-5389,CAM-681,2026-05-01,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,Instagram Ads,Market Expansion,7693,645,50,39326.3,520280.98
AD-2166,CAM-628,2026-04-17,South Africa,Cape Town,-33.9249,18.4241,Process Optimisation,Facebook Ads,Lead Generation,52595,3475,508,24781.33,7528138.1
AD-8146,CAM-445,2025-12-09,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Facebook Ads,Market Expansion,41601,1363,112,9275.26,873916.46
AD-5322,CAM-840,2025-11-19,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,YouTube Ads,Digital Efficiency,4697,476,89,23637.82,443073.06
AD-9169,CAM-675,2026-05-07,Zambia,Lusaka,-15.3875,28.3228,Forecasting Model,YouTube Ads,Market Expansion,30458,2492,542,16465.71,2078762.96
AD-2543,CAM-170,2026-05-07,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Facebook Ads,Digital Efficiency,31163,2452,349,3905.32,5482368.3
AD-5722,CAM-756,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,Facebook Ads,AI Awareness,27331,952,117,34979.24,366349.39
AD-6915,CAM-685,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,Instagram Ads,Digital Efficiency,79595,2773,495,24634.34,4478367.3
AD-3788,CAM-995,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,LinkedIn Ads,AI Awareness,83854,2712,281,31686.01,3871412.26
AD-5454,CAM-959,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,Process Optimisation,Facebook Ads,Lead Generation,46224,5409,646,10659.81,8266252.4
AD-9642,CAM-534,2026-05-07,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Google Ads,Market Expansion,12720,818,124,47963.86,1553109.57
AD-1752,CAM-826,2026-05-07,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Google Ads,AI Awareness,38856,2115,125,50879.53,537960.38
AD-1566,CAM-996,2026-05-07,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,Instagram Ads,AI Awareness,15266,299,60,11490.18,540712.39
AD-3674,CAM-656,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Instagram Ads,Market Expansion,51371,1145,100,5352.84,943928.71
AD-9339,CAM-690,2026-05-07,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Instagram Ads,Market Expansion,83001,2667,411,7682.18,1366364.45
AD-2282,CAM-545,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,BI Dashboard,Instagram Ads,Growth Intelligence,65198,1349,130,48289.93,1898465.64
AD-5327,CAM-517,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,HR Analytics,Instagram Ads,Digital Efficiency,45875,2363,261,5963.86,3593937.05
AD-9036,CAM-818,2026-05-07,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,Facebook Ads,Lead Generation,25532,2863,613,23533.49,8616852.59
AD-1387,CAM-774,2026-05-07,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Google Ads,AI Awareness,62056,1089,93,9246.47,589259.17
AD-5901,CAM-906,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,Facebook Ads,Lead Generation,50070,5058,939,20145.68,5338155.74
AD-5562,CAM-876,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,AI Chatbot,Facebook Ads,AI Awareness,33720,1810,386,47323.48,3354261.03
AD-8499,CAM-723,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Forecasting Model,LinkedIn Ads,Growth Intelligence,29026,3402,266,38480.6,2161695.9
AD-6927,CAM-141,2026-05-07,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,LinkedIn Ads,Market Expansion,35214,1618,67,45670.04,859284.14
AD-5859,CAM-897,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,Facebook Ads,AI Awareness,79120,5437,1142,46208.96,4333354.75
AD-5795,CAM-645,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,LinkedIn Ads,Growth Intelligence,75738,7777,1122,35635.39,17872815.99
AD-9451,CAM-515,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,Process Optimisation,YouTube Ads,AI Awareness,29220,1091,40,17519.38,167077.62
AD-3845,CAM-520,2026-05-07,Zambia,Lusaka,-15.3875,28.3228,Forecasting Model,Google Ads,Digital Efficiency,33729,3545,358,8155.17,4192096.28
AD-5633,CAM-201,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,HR Analytics,LinkedIn Ads,Growth Intelligence,61005,4755,868,29758.85,9290503.95
AD-2017,CAM-964,2026-05-07,Botswana,Francistown,-21.1702,27.5079,BI Dashboard,LinkedIn Ads,Growth Intelligence,26742,987,69,34337.29,772677.84
AD-3827,CAM-794,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,YouTube Ads,Market Expansion,65727,6305,363,14474.36,4707073.7
AD-9095,CAM-174,2026-05-07,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,Instagram Ads,Digital Efficiency,64197,6798,418,34289.29,1305934.93
AD-4562,CAM-191,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Forecasting Model,Instagram Ads,Digital Efficiency,34183,1259,65,37096.04,916486.57
AD-4763,CAM-694,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Facebook Ads,AI Awareness,68311,3381,506,7676.05,5073866.57
AD-9578,CAM-480,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,YouTube Ads,Digital Efficiency,64159,3042,397,33043.82,5999926.25
AD-3464,CAM-746,2026-05-07,Nigeria,Lagos,6.5244,3.3792,HR Analytics,YouTube Ads,AI Awareness,26038,1274,50,7438.6,536008.93
AD-2863,CAM-595,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,LinkedIn Ads,Market Expansion,42526,3100,189,25207.12,1508852.11
AD-5652,CAM-603,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,BI Dashboard,Google Ads,Market Expansion,36650,1259,270,12816.8,1291585.48
AD-8686,CAM-296,2026-05-07,Nigeria,Lagos,6.5244,3.3792,HR Analytics,YouTube Ads,Digital Efficiency,15211,769,153,3669.71,553784.24
AD-7310,CAM-955,2026-05-07,Botswana,Francistown,-21.1702,27.5079,Forecasting Model,Facebook Ads,Digital Efficiency,23667,2392,140,43252.27,1635231.06
AD-3231,CAM-171,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,YouTube Ads,Market Expansion,68616,6628,698,36991.1,8381885.32
AD-4958,CAM-217,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,AI Chatbot,YouTube Ads,Digital Efficiency,58123,4221,481,34049.32,2128191.63
AD-3949,CAM-303,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,Instagram Ads,Lead Generation,27740,3212,297,19457.13,2639520.2
AD-9510,CAM-757,2026-05-07,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Google Ads,Digital Efficiency,75485,8202,1796,45300.99,17372623.19
AD-6146,CAM-377,2026-05-07,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,LinkedIn Ads,AI Awareness,40548,2832,450,21212.39,4827886.63
AD-2001,CAM-408,2026-05-07,Botswana,Francistown,-21.1702,27.5079,HR Analytics,Google Ads,AI Awareness,79940,5015,900,8850.81,10793082.03
AD-9407,CAM-323,2026-05-07,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,LinkedIn Ads,AI Awareness,55806,1210,167,16008.88,1692827.21
AD-5198,CAM-690,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Google Ads,AI Awareness,51149,2616,107,27302.73,485123.0
AD-5579,CAM-846,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,Instagram Ads,AI Awareness,69339,3103,141,18964.34,1603410.33
AD-3053,CAM-586,2026-05-07,Kenya,Nairobi,-1.2921,36.8219,HR Analytics,YouTube Ads,AI Awareness,22391,1002,36,17893.21,362251.9
AD-8453,CAM-152,2026-05-07,Botswana,Francistown,-21.1702,27.5079,Forecasting Model,Google Ads,AI Awareness,61846,5440,943,33679.88,10033840.57
AD-5505,CAM-549,2026-05-07,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Google Ads,Digital Efficiency,84973,4133,735,50957.61,11468785.94
AD-2450,CAM-908,2026-05-07,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Facebook Ads,Growth Intelligence,77766,7588,722,43515.29,5752692.22
AD-1258,CAM-981,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,BI Dashboard,LinkedIn Ads,Growth Intelligence,44022,2159,397,21558.56,2537208.79
AD-6418,CAM-438,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,Data Automation,Instagram Ads,AI Awareness,27316,1479,263,48156.62,3893314.32
AD-6243,CAM-735,2026-05-07,Botswana,Francistown,-21.1702,27.5079,HR Analytics,YouTube Ads,AI Awareness,27794,1753,246,10152.69,2478030.14
AD-6199,CAM-838,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Data Automation,Google Ads,Market Expansion,83599,8326,397,23229.57,2728299.29
AD-7559,CAM-250,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,BI Dashboard,YouTube Ads,Market Expansion,50726,4027,846,38605.78,12814166.84
AD-5065,CAM-568,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,Process Optimisation,Google Ads,Digital Efficiency,71111,6119,736,20328.27,7604092.96
AD-5643,CAM-799,2026-05-07,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Facebook Ads,Market Expansion,78707,8138,1679,5993.52,19097467.92
AD-3066,CAM-907,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,Data Automation,YouTube Ads,Lead Generation,56616,942,201,39816.7,989461.22
AD-2609,CAM-831,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Data Automation,Facebook Ads,Digital Efficiency,59711,5781,693,17758.14,8287572.93
AD-2265,CAM-316,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,Cybersecurity,Google Ads,Lead Generation,12659,1055,189,44072.24,2084490.18
AD-2900,CAM-156,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Forecasting Model,LinkedIn Ads,Lead Generation,34230,3129,386,44695.94,4707246.98
AD-6679,CAM-279,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,YouTube Ads,Market Expansion,51933,3170,235,24938.61,2440664.8
AD-8009,CAM-754,2026-05-07,Botswana,Francistown,-21.1702,27.5079,Forecasting Model,YouTube Ads,Market Expansion,21391,762,49,21005.94,749684.72
AD-7302,CAM-641,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,Forecasting Model,LinkedIn Ads,Digital Efficiency,74011,8092,950,8768.8,4150918.1
AD-1683,CAM-244,2026-05-07,Namibia,Windhoek,-22.5609,17.0658,AI Chatbot,LinkedIn Ads,Growth Intelligence,3496,228,16,44512.9,238389.07
